Run,MSE,R2,alpha,l1_ratio
0.0,0.3659909430357352,-0.3408967526371298,0.25,0.0
1.0,0.6178339558775939,-0.3389149810863501,0.1,0.0
2.0,0.5270208839898674,-0.7802635592719867,0.1,0.0
3.0,1.7042508754288292,-0.42153661537239606,0.25,0.0
4.0,0.62954869744588,-0.09528288060274392,0.1,0.0
5.0,0.2426432483576348,0.22271619837436385,0.1,0.0
6.0,0.5740218185400333,-2.1955954118465595,0.1,0.0
7.0,0.6663408169317927,-0.4159079828393013,0.1,0.0
8.0,11.3140492480405,-0.35329837949513765,0.1,0.7
9.0,1.471985766709402,-0.09185118022135863,0.25,0.0
10.0,1.4315845196010444,-0.0108840704294062,0.25,0.0
11.0,0.39970545360505755,0.3412088556857755,0.1,0.0
12.0,1.565806091450655,-0.4630999675232248,0.25,0.0
13.0,0.41940259672039104,-0.06124107000747814,0.1,0.8
14.0,0.46184481350165285,0.0036237173883050255,0.25,0.0
15.0,0.33881266595522125,-2.3910536449251025,0.25,0.0
16.0,9.284175308410827,-0.128753219969318,0.1,0.0
17.0,0.6173280507161963,-13.124544468086624,0.75,0.0
18.0,0.5385144109076232,-0.03333304570073681,0.1,0.7
19.0,0.46206819985914127,-0.47195017609369083,0.1,0.0
